どっち？((011L.mp3)),deep leak,deep reek
どっち？((011R.mp3)),deep reek,deep leak
どっち？((012L.mp3)),deep loom,deep room
どっち？((012R.mp3)),deep room,deep loom
どっち？((013L.mp3)),deep lock,deep rock
どっち？((013R.mp3)),deep rock,deep lock
どっち？((014L.mp3)),deep lamb,deep ram
どっち？((014R.mp3)),deep ram,deep lamb
どっち？((021L.mp3)),fab leak,fab reek
どっち？((021R.mp3)),fab reek,fab leak
どっち？((022L.mp3)),fab loom,fab room
どっち？((022R.mp3)),fab room,fab loom
どっち？((023L.mp3)),fab lock,fab rock
どっち？((023R.mp3)),fab rock,fab lock
どっち？((024L.mp3)),fab lamb,fab ram
どっち？((024R.mp3)),fab ram,fab lamb
どっち？((031L.mp3)),cute leak,cute reek
どっち？((031R.mp3)),cute reek,cute leak
どっち？((032L.mp3)),cute loom,cute room
どっち？((032R.mp3)),cute room,cute loom
どっち？((033L.mp3)),cute lock,cute rock
どっち？((033R.mp3)),cute rock,cute lock
どっち？((034L.mp3)),cute lamb,cute ram
どっち？((034R.mp3)),cute ram,cute lamb
どっち？((041L.mp3)),bold leak,bold reek
どっち？((041R.mp3)),bold reek,bold leak
どっち？((042L.mp3)),bold loom,bold room
どっち？((042R.mp3)),bold room,bold loom
どっち？((043L.mp3)),bold lock,bold rock
どっち？((043R.mp3)),bold rock,bold lock
どっち？((044L.mp3)),bold lamb,bold ram
どっち？((044R.mp3)),bold ram,bold lamb
どっち？((051L.mp3)),weak leak,weak reek
どっち？((051R.mp3)),weak reek,weak leak
どっち？((052L.mp3)),weak loom,weak room
どっち？((052R.mp3)),weak room,weak loom
どっち？((053L.mp3)),weak lock,weak rock
どっち？((053R.mp3)),weak rock,weak lock
どっち？((054L.mp3)),weak lamb,weak ram
どっち？((054R.mp3)),weak ram,weak lamb
