"この音はどれ？((4a.mp3))",[ɾa],[ɹa],[ra],[la]
"この音はどれ？((rBa.mp3))",[ɹa],[ra],[la],[ɾa]
"この音はどれ？((ra.mp3))",[ra],[la],[ɾa],[ɹa]
"この音はどれ？((la.mp3))",[la],[ɾa],[ɹa],[ra]
"この音はどれ？((4i.mp3))",[ɾi],[ɹi],[ri],[li]
"この音はどれ？((rBi.mp3))",[ɹi],[ri],[li],[ɾi]
"この音はどれ？((ri.mp3))",[ri],[li],[ɾi],[ɹi]
"この音はどれ？((li.mp3))",[li],[ɾi],[ɹi],[ri]
"この音はどれ？((4u.mp3))",[ɾu],[ɹu],[ru],[lu]
"この音はどれ？((rBu.mp3))",[ɹu],[ru],[lu],[ɾu]
"この音はどれ？((ru.mp3))",[ru],[lu],[ɾu],[ɹu]
"この音はどれ？((lu.mp3))",[lu],[ɾu],[ɹu],[ru]
"この音はどれ？((4o.mp3))",[ɾo],[ɹo],[ro],[lo]
"この音はどれ？((rBo.mp3))",[ɹo],[ro],[lo],[ɾo]
"この音はどれ？((ro.mp3))",[ro],[lo],[ɾo],[ɹo]
"この音はどれ？((lo.mp3))",[lo],[ɾo],[ɹo],[ro]
